2026-06-05 00:15:23.102 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 4 answers in parallel (workers=4)...
2026-06-05 00:15:23.117 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '73f9860325b4'
2026-06-05 00:15:23.122 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '73f9860325b4'
2026-06-05 00:15:23.122 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '73f9860325b4'
2026-06-05 00:15:23.129 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '73f9860325b4'
2026-06-05 00:15:25.070 | INFO     | services.evaluation_service:run_ragas_evaluation:129 - Running RAGAS on 4 questions (all 5 metrics in parallel)...
2026-06-05 00:19:05.516 | INFO     | services.evaluation_service:run_ragas_evaluation:204 - RAGAS complete — Score: 97.4/100 Grade A | F:1.00 AR:0.99 CR:1.00 CP:0.87 AC:0.72
2026-06-05 00:21:16.228 | INFO     | agents.retrieval_inspector:run_retrieval_inspector:109 - Running Retrieval Inspector for pipeline '73f9860325b4'
2026-06-05 00:21:18.859 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (984 chars)
2026-06-05 00:21:18.859 | INFO     | agents.retrieval_inspector:run_retrieval_inspector:162 - Retrieval Inspector analysis complete.
2026-06-05 00:21:18.859 | INFO     | agents.hallucination_detector:run_hallucination_detector:196 - Running Hallucination Detector on 4 answers...
2026-06-05 00:21:18.859 | DEBUG    | agents.hallucination_detector:run_hallucination_detector:203 - Checking answer 1/4
2026-06-05 00:21:18.919 | INFO     | agents.hallucination_detector:_get_nli_pipeline:34 - Loading NLI model: cross-encoder/nli-deberta-v3-small
2026-06-05 00:23:19.475 | INFO     | agents.hallucination_detector:_get_nli_pipeline:40 - NLI model loaded.
2026-06-05 00:23:21.127 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (185 chars)
2026-06-05 00:23:21.127 | DEBUG    | agents.hallucination_detector:run_hallucination_detector:203 - Checking answer 2/4
2026-06-05 00:23:22.254 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (268 chars)
2026-06-05 00:23:22.254 | DEBUG    | agents.hallucination_detector:run_hallucination_detector:203 - Checking answer 3/4
2026-06-05 00:23:23.328 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (187 chars)
2026-06-05 00:23:23.328 | DEBUG    | agents.hallucination_detector:run_hallucination_detector:203 - Checking answer 4/4
2026-06-05 00:24:03.906 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (211 chars)
2026-06-05 00:24:03.907 | INFO     | agents.hallucination_detector:run_hallucination_detector:225 - Hallucination detection complete. Overall risk: Low, rate: 0.000
2026-06-05 00:24:08.358 | INFO     | services.document_service:load_documents:80 - Loaded 2 pages/sections from 'd6177d1e_University_RAG_Knowledge_Base.pdf'
2026-06-05 00:24:08.360 | INFO     | agents.evaluation_agent:generate_eval_dataset:58 - Generating 3 eval questions for pipeline '73f9860325b4'
2026-06-05 00:24:11.455 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (611 chars)
2026-06-05 00:24:11.455 | INFO     | agents.evaluation_agent:generate_eval_dataset:82 - Generated 3 evaluation questions.
2026-06-05 00:24:11.606 | INFO     | services.vector_store_service:build_vector_store:71 - Indexed 5 chunks into collection 'pipeline_6b5f57e44f38' using model 'all-MiniLM-L6-v2'
2026-06-05 00:24:11.606 | INFO     | services.rag_service:build_pipeline_for_config:212 - Built optimization pipeline 6b5f57e44f38 (chunk=256, k=3, model=all-MiniLM-L6-v2)
2026-06-05 00:24:11.606 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 3 answers in parallel (workers=3)...
2026-06-05 00:24:11.624 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '6b5f57e44f38'
2026-06-05 00:24:11.627 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '6b5f57e44f38'
2026-06-05 00:24:11.627 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '6b5f57e44f38'
2026-06-05 00:24:13.134 | INFO     | services.evaluation_service:run_ragas_evaluation:129 - Running RAGAS on 3 questions (all 5 metrics in parallel)...
2026-06-05 00:27:06.159 | INFO     | services.evaluation_service:run_ragas_evaluation:204 - RAGAS complete — Score: 92.7/100 Grade A | F:0.83 AR:0.91 CR:1.00 CP:1.00 AC:0.83
2026-06-05 00:27:06.166 | INFO     | services.vector_store_service:get_embeddings:31 - Loading embedding model: all-mpnet-base-v2
2026-06-05 00:28:40.832 | INFO     | services.vector_store_service:get_embeddings:37 - Embedding model loaded: all-mpnet-base-v2
2026-06-05 00:28:41.145 | INFO     | services.vector_store_service:build_vector_store:71 - Indexed 5 chunks into collection 'pipeline_c35bad7ca430' using model 'all-mpnet-base-v2'
2026-06-05 00:28:41.145 | INFO     | services.rag_service:build_pipeline_for_config:212 - Built optimization pipeline c35bad7ca430 (chunk=256, k=3, model=all-mpnet-base-v2)
2026-06-05 00:28:41.145 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 3 answers in parallel (workers=3)...
2026-06-05 00:28:41.158 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline 'c35bad7ca430'
2026-06-05 00:28:41.162 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline 'c35bad7ca430'
2026-06-05 00:28:41.164 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline 'c35bad7ca430'
2026-06-05 00:28:42.951 | INFO     | services.evaluation_service:run_ragas_evaluation:129 - Running RAGAS on 3 questions (all 5 metrics in parallel)...
2026-06-05 00:30:06.239 | INFO     | services.evaluation_service:run_ragas_evaluation:204 - RAGAS complete — Score: 94.2/100 Grade A | F:1.00 AR:0.90 CR:1.00 CP:0.83 AC:0.83
2026-06-05 00:30:06.357 | INFO     | services.vector_store_service:build_vector_store:71 - Indexed 5 chunks into collection 'pipeline_596ef0dc3213' using model 'all-MiniLM-L6-v2'
2026-06-05 00:30:06.357 | INFO     | services.rag_service:build_pipeline_for_config:212 - Built optimization pipeline 596ef0dc3213 (chunk=256, k=5, model=all-MiniLM-L6-v2)
2026-06-05 00:30:06.357 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 3 answers in parallel (workers=3)...
2026-06-05 00:30:06.373 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '596ef0dc3213'
2026-06-05 00:30:06.374 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '596ef0dc3213'
2026-06-05 00:30:06.376 | INFO     | services.vector_store_service:load_vector_store:108 - Loaded vector store for pipeline '596ef0dc3213'
2026-06-05 00:31:03.519 | INFO     | services.evaluation_service:run_ragas_evaluation:129 - Running RAGAS on 3 questions (all 5 metrics in parallel)...
2026-06-05 00:35:01.830 | INFO     | services.document_service:load_documents:80 - Loaded 1 pages/sections from 'd7968e98_test_doc.txt'
2026-06-05 00:35:01.832 | INFO     | services.rag_service:ingest_document:78 - Split into 3 chunks (size=512, overlap=50)
2026-06-05 00:35:01.832 | INFO     | services.vector_store_service:get_embeddings:42 - Loading embedding model: all-MiniLM-L6-v2
2026-06-05 00:35:01.841 | INFO     | services.document_service:load_documents:80 - Loaded 1 pages/sections from 'cc69bcd8_test_doc.txt'
2026-06-05 00:35:01.842 | INFO     | services.rag_service:ingest_document:78 - Split into 3 chunks (size=512, overlap=50)
2026-06-05 00:35:01.842 | INFO     | services.vector_store_service:get_embeddings:42 - Loading embedding model: all-MiniLM-L6-v2
2026-06-05 00:35:09.831 | INFO     | services.vector_store_service:get_embeddings:48 - Embedding model loaded: all-MiniLM-L6-v2
2026-06-05 00:35:10.188 | INFO     | services.vector_store_service:get_embeddings:48 - Embedding model loaded: all-MiniLM-L6-v2
2026-06-05 00:35:12.546 | INFO     | services.vector_store_service:build_vector_store:93 - Indexed 3 chunks into collection 'pipeline_7124f643f6cb' using model 'all-MiniLM-L6-v2'
2026-06-05 00:35:12.546 | INFO     | services.rag_service:ingest_document:105 - Pipeline ready: pipeline_id=7124f643f6cb, doc_id=10fde6f29126
2026-06-05 00:35:12.579 | INFO     | services.vector_store_service:build_vector_store:93 - Indexed 3 chunks into collection 'pipeline_fb76e4e497be' using model 'all-MiniLM-L6-v2'
2026-06-05 00:35:12.580 | INFO     | services.rag_service:ingest_document:105 - Pipeline ready: pipeline_id=fb76e4e497be, doc_id=5515d1ca6e60
2026-06-05 00:36:15.243 | INFO     | services.document_service:load_documents:80 - Loaded 1 pages/sections from 'd7968e98_test_doc.txt'
2026-06-05 00:36:15.243 | INFO     | agents.evaluation_agent:generate_eval_dataset:58 - Generating 3 eval questions for pipeline '7124f643f6cb'
2026-06-05 00:36:17.483 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (699 chars)
2026-06-05 00:36:17.483 | INFO     | agents.evaluation_agent:generate_eval_dataset:82 - Generated 3 evaluation questions.
2026-06-05 00:36:17.483 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 3 answers in parallel (workers=3)...
2026-06-05 00:36:17.498 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '7124f643f6cb'
2026-06-05 00:36:17.499 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '7124f643f6cb'
2026-06-05 00:36:17.500 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '7124f643f6cb'
2026-06-05 00:36:19.172 | INFO     | services.evaluation_service:run_ragas_evaluation:129 - Running RAGAS on 3 questions (all 5 metrics in parallel)...
2026-06-05 00:39:06.886 | INFO     | services.evaluation_service:run_ragas_evaluation:204 - RAGAS complete — Score: 90.0/100 Grade A | F:1.00 AR:0.95 CR:0.83 CP:0.78 AC:0.67
2026-06-05 00:39:27.554 | INFO     | agents.retrieval_inspector:run_retrieval_inspector:109 - Running Retrieval Inspector for pipeline '7124f643f6cb'
2026-06-05 00:40:05.185 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (1011 chars)
2026-06-05 00:40:05.185 | INFO     | agents.retrieval_inspector:run_retrieval_inspector:162 - Retrieval Inspector analysis complete.
2026-06-05 00:40:05.186 | INFO     | agents.hallucination_detector:run_hallucination_detector:196 - Running Hallucination Detector on 3 answers...
2026-06-05 00:40:05.186 | DEBUG    | agents.hallucination_detector:run_hallucination_detector:203 - Checking answer 1/3
2026-06-05 00:40:05.227 | INFO     | agents.hallucination_detector:_get_nli_pipeline:34 - Loading NLI model: cross-encoder/nli-deberta-v3-small
2026-06-05 00:40:06.025 | INFO     | agents.hallucination_detector:_get_nli_pipeline:40 - NLI model loaded.
2026-06-05 00:40:08.207 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (155 chars)
2026-06-05 00:40:08.212 | DEBUG    | agents.hallucination_detector:run_hallucination_detector:203 - Checking answer 2/3
2026-06-05 00:41:04.375 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (256 chars)
2026-06-05 00:41:04.375 | DEBUG    | agents.hallucination_detector:run_hallucination_detector:203 - Checking answer 3/3
2026-06-05 00:41:05.555 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (146 chars)
2026-06-05 00:41:05.555 | INFO     | agents.hallucination_detector:run_hallucination_detector:225 - Hallucination detection complete. Overall risk: Low, rate: 0.000
2026-06-05 00:41:13.811 | INFO     | services.document_service:load_documents:80 - Loaded 1 pages/sections from 'd71487cf_bad_test_doc.txt'
2026-06-05 00:41:13.811 | INFO     | services.rag_service:ingest_document:78 - Split into 9 chunks (size=512, overlap=50)
2026-06-05 00:41:13.819 | INFO     | services.document_service:load_documents:80 - Loaded 1 pages/sections from '5b213ef9_bad_test_doc.txt'
2026-06-05 00:41:13.820 | INFO     | services.rag_service:ingest_document:78 - Split into 9 chunks (size=512, overlap=50)
2026-06-05 00:41:14.578 | INFO     | services.vector_store_service:build_vector_store:93 - Indexed 9 chunks into collection 'pipeline_85b839626010' using model 'all-MiniLM-L6-v2'
2026-06-05 00:41:14.579 | INFO     | services.rag_service:ingest_document:105 - Pipeline ready: pipeline_id=85b839626010, doc_id=e46b46ed7db9
2026-06-05 00:41:14.644 | INFO     | services.vector_store_service:build_vector_store:93 - Indexed 9 chunks into collection 'pipeline_80a9b1ab2cb7' using model 'all-MiniLM-L6-v2'
2026-06-05 00:41:14.645 | INFO     | services.rag_service:ingest_document:105 - Pipeline ready: pipeline_id=80a9b1ab2cb7, doc_id=85c3a6557b98
2026-06-05 00:41:18.791 | INFO     | services.document_service:load_documents:80 - Loaded 1 pages/sections from 'd7968e98_test_doc.txt'
2026-06-05 00:41:18.791 | INFO     | agents.evaluation_agent:generate_eval_dataset:58 - Generating 3 eval questions for pipeline '7124f643f6cb'
2026-06-05 00:41:24.785 | INFO     | services.document_service:load_documents:80 - Loaded 1 pages/sections from 'd71487cf_bad_test_doc.txt'
2026-06-05 00:41:24.785 | INFO     | agents.evaluation_agent:generate_eval_dataset:58 - Generating 3 eval questions for pipeline '85b839626010'
2026-06-05 00:42:05.230 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (945 chars)
2026-06-05 00:42:05.230 | INFO     | agents.evaluation_agent:generate_eval_dataset:82 - Generated 3 evaluation questions.
2026-06-05 00:42:05.230 | INFO     | services.evaluation_service:collect_rag_outputs_parallel:101 - Collecting 3 answers in parallel (workers=3)...
2026-06-05 00:42:05.238 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '85b839626010'
2026-06-05 00:42:05.242 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '85b839626010'
2026-06-05 00:42:05.245 | INFO     | services.vector_store_service:load_vector_store:132 - Loaded vector store for pipeline '85b839626010'
2026-06-05 00:42:05.854 | DEBUG    | utils.llm_client:chat_sync:83 - LLM response received (656 chars)
2026-06-05 00:42:05.854 | INFO     | agents.evaluation_agent:generate_eval_dataset:82 - Generated 3 evaluation questions.
